alpha,leak,n_pos,n_neg,n_neg_within_comp,auc_hgnn,auc_flat,auc_raw,auc_gru,auc_flat_minus_hgnn,ci_lo,ci_hi
1.0,0.0,20,752,150,0.9413896276595745,0.9408577127659574,0.549966755319149,0.9399601063829788,-0.0005319148936170359,-0.005017943933553934,0.010182410684990133
0.9,0.0,20,752,150,0.9359042553191489,0.9379321808510638,0.549966755319149,0.9399601063829788,0.002027925531914887,-0.001529934724141707,0.009429651795981665
0.7,0.0,20,752,150,0.9154920212765958,0.9201462765957447,0.549966755319149,0.9399601063829788,0.00465425531914887,-0.0006874644655620708,0.014711992945326291
0.5,0.0,20,752,150,0.9132313829787234,0.9092087765957447,0.549966755319149,0.9399601063829788,-0.0040226063829786884,-0.01802283920913473,0.0039513508347139145
0.3,0.0,20,752,150,0.9133311170212766,0.9107047872340426,0.549966755319149,0.9399601063829788,-0.002626329787233983,-0.007799232228944203,0.003327121595034387
0.1,0.0,20,752,150,0.9100066489361702,0.9074135638297872,0.549966755319149,0.9399601063829788,-0.0025930851063830085,-0.0071634958488609015,0.003929540908633315
1.0,0.1,20,752,150,0.9391622340425532,0.9373670212765958,0.549966755319149,0.9399601063829788,-0.001795212765957399,-0.011580831322827367,0.002961184603533917
0.9,0.1,20,752,150,0.9359042553191489,0.9344747340425532,0.549966755319149,0.9399601063829788,-0.00142952127659568,-0.00882711038961037,0.00125273166189955
0.7,0.1,20,752,150,0.9126994680851064,0.908843085106383,0.549966755319149,0.9399601063829788,-0.0038563829787233717,-0.01609156896001516,0.0011492075715420849
0.5,0.1,20,752,150,0.9128989361702128,0.9082114361702127,0.549966755319149,0.9399601063829788,-0.004687500000000067,-0.017958709680140912,-0.0007166308090906765
0.3,0.1,20,752,150,0.9126329787234042,0.9099734042553191,0.549966755319149,0.9399601063829788,-0.0026595744680850686,-0.01263770602974786,0.00805568997154422
0.1,0.1,20,752,150,0.9105053191489362,0.9075797872340425,0.549966755319149,0.9399601063829788,-0.002925531914893642,-0.006288674002486327,-0.0005628154298070874
1.0,0.2,20,752,150,0.9385638297872341,0.9367686170212766,0.549966755319149,0.9399601063829788,-0.0017952127659575101,-0.005448127697383206,0.0033152173913043592
0.9,0.2,20,752,150,0.9335106382978723,0.9321808510638298,0.549966755319149,0.9399601063829788,-0.0013297872340425343,-0.008374313145524701,0.002045988870815765
0.7,0.2,20,752,150,0.9122007978723404,0.9081449468085107,0.549966755319149,0.9399601063829788,-0.004055851063829774,-0.015537629655556261,0.004215873220250173
0.5,0.2,20,752,150,0.9121343085106383,0.9086768617021277,0.549966755319149,0.9399601063829788,-0.003457446808510567,-0.01662628979363296,0.004758242852725765
0.3,0.2,20,752,150,0.9124667553191489,0.9095412234042554,0.549966755319149,0.9399601063829788,-0.002925531914893531,-0.0073713323713323585,0.0006071645415908211
0.1,0.2,20,752,150,0.908843085106383,0.9085771276595744,0.549966755319149,0.9399601063829788,-0.00026595744680857347,-0.0036821264066455,0.010719715445656187
