alpha,leak,acc_hgnn,acc_flat,acc_raw,acc_gru,pos_hgnn,neg_hgnn,pos_flat,neg_flat,flat_minus_hgnn,tie,within_component_cos,n_pairs
1.0,0.0,0.95,0.95,0.15,1.0,0.6693368249499866,0.19659297991216634,0.6833397483334762,0.19388555710554892,0.0,True,0.39579691475332146,20
0.9,0.0,0.95,0.95,0.15,1.0,0.525874211419285,0.15597513871372856,0.5414241037837491,0.15588190871800567,0.0,True,0.307716263798708,20
0.7,0.0,0.9,0.95,0.15,1.0,0.31540097800946987,0.09529874044539924,0.32691512761687447,0.09664970642494466,0.04999999999999993,False,0.18341526421651508,20
0.5,0.0,0.95,0.9,0.15,1.0,0.1901896564801564,0.058515280593194476,0.19669816511232097,0.05959628928082957,-0.04999999999999993,False,0.1120799529880854,20
0.3,0.0,0.9,0.9,0.15,1.0,0.11469733556279224,0.036068307543486985,0.1176787471192952,0.036648411247538246,0.0,True,0.07017232563450751,20
0.1,0.0,0.9,0.9,0.15,1.0,0.06713309083481352,0.021818456329669035,0.06789101025968687,0.02198130496612348,0.0,True,0.04433832483113391,20
1.0,0.05,0.95,0.95,0.15,1.0,0.6495954705691743,0.1910089269579649,0.6640096238813067,0.1887782289489239,0.0,True,0.3831238255785193,20
0.9,0.05,0.95,0.95,0.15,1.0,0.5048578084437543,0.14996123088691188,0.5202721931269465,0.1501417029075623,0.0,True,0.2948501790450373,20
0.7,0.05,0.95,0.95,0.15,1.0,0.3005374425515616,0.09095507865923162,0.3115182294494855,0.09231510705535102,0.0,True,0.17477542500382656,20
0.5,0.05,0.9,0.95,0.15,1.0,0.1820327344079758,0.05609850928383166,0.18816457958229874,0.05713623660569038,0.04999999999999993,False,0.10749019099669951,20
0.3,0.05,0.9,0.9,0.15,1.0,0.11105874307040475,0.03498086945509804,0.1138661840837899,0.035531313697151394,0.0,True,0.06817511917417353,20
0.1,0.05,0.9,0.9,0.15,1.0,0.06623561081090011,0.021548811068081944,0.06695289796841349,0.021703237514555735,0.0,True,0.04385640647122384,20
1.0,0.1,0.95,0.95,0.15,1.0,0.6283950307708096,0.18500539609120034,0.6431600473122093,0.1832459967716041,0.0,True,0.3696466654296631,20
0.9,0.1,0.9,0.95,0.15,1.0,0.4830789341419023,0.14371776412987852,0.4982757841169116,0.1441492013304107,0.04999999999999993,False,0.28160900930019994,20
0.7,0.1,0.9,0.9,0.15,1.0,0.2856892704640389,0.08660930135307947,0.2961146945529349,0.0879665570457968,0.0,True,0.1661822184846759,20
0.5,0.1,0.9,0.9,0.15,1.0,0.17397184504213534,0.05370805475928062,0.17972875859207588,0.05470019357387752,0.0,True,0.10296715873358767,20
0.3,0.1,0.9,0.9,0.15,1.0,0.10746066035142336,0.03390510084573769,0.11009641627312491,0.03442579930580893,0.0,True,0.06620330444660938,20
0.1,0.1,0.95,0.9,0.15,1.0,0.0653424105121431,0.021280426920974496,0.06601934971706558,0.021426457379916837,-0.04999999999999993,False,0.04337704935590724,20
1.0,0.2,0.95,0.95,0.15,1.0,0.5813890054645284,0.17166507053744945,0.5966140947511177,0.1708118640501292,0.0,True,0.34019648310239137,20
0.9,0.2,0.9,0.9,0.15,1.0,0.4373881302028314,0.1305800885911494,0.4518872274457609,0.13143496218333858,0.0,True,0.2541174414317527,20
0.7,0.2,0.9,0.9,0.15,1.0,0.2561454132803724,0.07794240784588058,0.2654042555262778,0.07926011906743902,0.0,True,0.14919661547665397,20
0.5,0.2,0.9,0.9,0.15,1.0,0.15815805304655065,0.04901225388015965,0.1631731018185895,0.0499070860788744,0.0,True,0.09413125805206819,20
0.3,0.2,0.95,0.9,0.15,1.0,0.10038767270482452,0.03178912297178179,0.10268718615044656,0.032250182929255015,-0.04999999999999993,False,0.06233650479953796,20
0.1,0.2,0.9,0.9,0.15,1.0,0.06356886331362437,0.020747447983863382,0.06416596242689895,0.020876767336252426,0.0,True,0.042426019138132987,20
