alpha,leak,acc_cross_comp_neg,acc_within_comp_neg,tie_within,spearman_dist_vs_coh,within_std_mean
1.0,0.0,1.0,0.5934065934065934,2,-0.7758620509636378,0.26988973229171526
0.9,0.0,1.0,0.5934065934065934,4,-0.7691528754953021,0.22591261703210924
0.7,0.0,0.9285714285714286,0.554945054945055,3,-0.7482434765563577,0.17406564965976268
0.5,0.0,0.8571428571428572,0.7417582417582418,0,-0.7385921579308643,0.15610792893123393
0.3,0.0,0.8571428571428572,0.6703296703296704,0,-0.7288835412412583,0.15093700471651475
0.1,0.0,0.8571428571428572,0.554945054945055,3,-0.7306815066914665,0.14952128167065087
0.5,0.1,0.8571428571428572,0.6318681318681318,2,-0.7354220486205086,0.1546755993294056
0.3,0.1,0.8571428571428572,0.554945054945055,5,-0.7280142475440798,0.1506480561553067
0.5,0.2,0.8571428571428572,0.554945054945055,1,-0.7313867494377644,0.15345829194807525
