alpha,layers,acc_cross_neg,acc_within_neg,tie_within,spearman_hop_coh,within_std
1.0,1,0.9285714285714286,0.554945054945055,4,-0.7503244933229214,0.1843791052041987
1.0,2,1.0,0.5934065934065934,2,-0.7736097297164453,0.26988973229171526
1.0,3,1.0,0.478021978021978,5,-0.7863611672047418,0.30511543723423856
1.0,5,1.0,0.5934065934065934,3,-0.7879803139593697,0.2665112519271529
1.0,10,1.0,0.554945054945055,4,-0.7879789409947402,0.135712873623755
1.0,50,1.0,0.4065934065934066,9,-0.7670050013801375,0.010985534292718221
1.0,500,1.0,0.07692307692307693,14,-0.2516719525238241,1.8164675396633973e-09
0.5,1,0.8571428571428572,0.554945054945055,6,-0.7308299889645022,0.15386042021471713
0.5,2,0.8571428571428572,0.554945054945055,4,-0.7376856473239112,0.15610792893123393
0.5,3,0.8571428571428572,0.554945054945055,5,-0.7403006604542401,0.15625819063392318
0.5,5,0.8571428571428572,0.7032967032967032,0,-0.7401098860715283,0.155844912617927
0.5,10,0.8571428571428572,0.7417582417582418,1,-0.7399367235934587,0.1556626871285629
0.5,50,0.8571428571428572,0.554945054945055,4,-0.7426221111266385,0.15565923511112878
0.5,500,0.8571428571428572,0.554945054945055,4,-0.7426206941509874,0.15565923511112878
